episode,total_reward,length,tracking_lin_vel,tracking_ang_vel,lin_vel_z,base_height,action_rate,similar_to_default
1,4.471713051293046,2,3.7385405600070953,0.9510167837142944,-0.03054184280335903,-0.10272747604176402,0.0,-0.08457497358322144
2,3851.1375401231367,1001,3966.1927542090416,264.13276717020767,-28.819427116912664,-0.7272167802486562,0.0,-349.6413373589513
3,4096.335171326333,1001,4295.9061750769615,188.92271630810623,-37.77107113994093,-1.0061478139631452,0.0,-349.71650110483114
4,3981.8551689589913,1001,4158.194012269378,217.76471544571785,-40.30852633046752,-0.996588285679878,0.0,-352.79844413995687
5,3902.0915968119593,1001,4097.347575649619,181.20018746466127,-27.902726240792507,-0.741455039698713,0.0,-347.81198502183
6,2.238370719924569,1,1.8393974006175995,0.5,0.0,-0.057049235329031944,0.0,-0.04397744536399842
7,2.199512254446745,1,1.8393974006175995,0.5,0.0,-0.09250359609723091,0.0,-0.04738155007362366
8,4181.436464793695,1001,4342.645006850362,233.26325090429742,-42.17237551980049,-1.167106344376121,0.0,-351.13231109678696
9,8.572391944285481,6,9.546455964446068,2.9015017449855804,-2.2463876232504845,-0.44759184354916215,0.0,-1.1815862983465195
10,3890.116549724626,1001,4045.702659189701,233.06882960461354,-37.05770675536627,-0.8510416292885115,0.0,-350.7461906850339
11,3992.555192176338,1001,4160.871530249715,225.59012063566797,-38.77164063494551,-0.8689178258093877,0.0,-354.26590024828965
12,3546.467902572534,1001,3723.2579866051674,203.20952530679136,-26.706282652130753,-0.6233536774694715,0.0,-352.66997300982456
13,3772.22927675089,1001,3950.496199801564,204.95242952630684,-32.235386215339396,-0.7202037206884704,0.0,-350.2637626409528
14,4.2130724679678675,2,3.67245614528656,0.9117379188537598,-0.02897951565682888,-0.2451695315539837,0.0,-0.0969725489616394
15,3940.2466343414917,1001,4105.69367185235,218.81156301586816,-32.648962395660334,-0.6610414389811714,0.0,-350.94859669208535
16,4126.176231873566,1001,4282.286928594112,236.60900940353417,-39.11330780122138,-0.9470811512855315,0.0,-352.65931717157287
17,2.2014284979552032,1,1.8393974006175995,0.5,0.0,-0.08771960623562336,0.0,-0.050249296426773074
18,3761.673993137647,1001,3929.410742223263,217.21491390785505,-31.098306338098574,-0.7844202001222511,0.0,-353.06893645524997
19,3863.0280846402293,1001,4066.3595694303513,176.8136633932819,-29.094426938217772,-0.5897338799403196,0.0,-350.4609873652456
20,4026.02725706817,1001,4217.235043421388,192.42426124571574,-34.775976601433456,-0.927661623739815,0.0,-347.92840937376
21,7.882124462351203,5,8.038227781653404,2.0318920612335205,-1.0914724320173264,-0.3333629760891199,0.0,-0.7631599724292755
22,4012.163448468701,1001,4170.935075059533,227.72873111101774,-34.56810451003283,-1.0533465633272199,0.0,-350.87890662848963
23,3882.5275929527184,1001,4023.689308464527,234.9716800659053,-25.60823832393544,-0.6004683691623747,0.0,-349.92468888461605
24,3446.464170877752,1001,3556.417207568884,271.250682572946,-27.422283221251874,-0.8068192410870889,0.0,-352.97461680173893
25,8.753970592888072,6,9.598164036870003,2.7570259869098663,-2.228221122175455,-0.22993596154265106,0.0,-1.1430623471736907
26,3869.4665615291597,1001,4064.2701587826014,196.95164182427516,-39.58347061604707,-1.0801912268055247,0.0,-351.0915772348641
27,4105.158669002777,1001,4290.46209231019,200.83716528416127,-34.49431837364571,-0.7893324101298038,0.0,-350.8569378077992
28,3785.6813112173163,1001,3967.6887096464634,202.68474856454068,-33.46353121703736,-0.9511729398882274,0.0,-350.27744283676196
29,2.234439304843545,1,1.8393974006175995,0.5,0.0,-0.06282604299485683,0.0,-0.042132052779197696
30,2.247114682756364,1,1.8393974006175995,0.5,0.0,-0.04207464400678873,0.0,-0.050208073854446415
31,3941.079625955851,1001,4115.270073711872,208.83603155519324,-31.776621562001807,-0.7763038413413792,0.0,-350.47355390787123
32,4044.6989090763955,1001,4226.377453878522,202.7998349806486,-33.798551072748346,-0.8075710899309296,0.0,-349.8722576200958
33,2.217009624838829,1,1.8393974006175995,0.5,0.0,-0.07205523550510406,0.0,-0.05033254027366638
34,4108.964012724456,1001,4306.072703301907,191.29818923337274,-38.4430289123117,-0.918183595903912,0.0,-349.04566730260814
35,3740.608111162163,1001,3909.9147805571556,224.3220113278234,-38.524104853509215,-1.0695973305550233,0.0,-354.03497853875166
